Date,DaySum,DaySumIrr,Pac,Pdc,SolIrr,Time,TmpAmb,TmpMod,Wind
2018-03-27 00:00:00,49000,685.0,22350,22823,320.0,08:15:00,32.0,31.0,0.0
2018-03-27 00:00:00,47100,659.0,21085,21541,301.0,08:10:00,32.0,31.0,2.0
2018-03-27 00:00:00,45400,634.0,22380,22841,317.0,08:05:00,34.0,32.0,1.5
2018-03-27 00:00:00,43500,609.0,22336,22800,333.0,08:00:00,39.0,35.0,3.8
2018-03-27 00:00:00,41600,582.0,57218,58717,940.0,07:55:00,48.0,40.0,1.1
2018-03-27 00:00:00,36700,512.0,53750,55152,919.0,07:50:00,46.0,39.0,1.7
2018-03-27 00:00:00,32200,440.0,60637,62376,943.0,07:45:00,47.0,38.0,1.5
2018-03-27 00:00:00,27100,368.0,62879,64825,997.0,07:40:00,42.0,34.0,0.0
2018-03-27 00:00:00,21800,290.0,40878,42193,601.0,07:35:00,33.0,29.0,1.6
2018-03-27 00:00:00,18500,241.0,18565,18947,260.0,07:30:00,31.0,28.0,0.7
2018-03-27 00:00:00,16900,220.0,15270,15582,220.0,07:25:00,31.0,28.0,0.9
2018-03-27 00:00:00,15600,202.0,15228,15511,205.0,07:20:00,36.0,29.0,0.0
2018-03-27 00:00:00,14300,186.0,42065,43041,602.0,07:15:00,38.0,30.0,0.0
2018-03-27 00:00:00,10700,138.0,38946,39817,514.0,07:10:00,34.0,27.0,0.0
2018-03-27 00:00:00,7500,97.0,26586,27164,324.0,07:05:00,29.0,26.0,0.7
2018-03-27 00:00:00,5300,70.0,17957,18317,267.0,07:00:00,27.0,24.0,0.0
2018-03-27 00:00:00,3800,48.0,18385,18752,221.0,06:55:00,25.0,23.0,0.0
2018-03-27 00:00:00,2300,30.0,7815,7917,104.0,06:50:00,22.0,21.0,0.0
2018-03-27 00:00:00,1600,21.0,4893,4958,64.0,06:45:00,21.0,20.0,0.0
2018-03-27 00:00:00,1200,15.0,3977,4011,51.0,06:40:00,20.0,20.0,0.0
2018-03-27 00:00:00,900,11.0,3081,3100,39.0,06:35:00,20.0,19.0,0.0
2018-03-27 00:00:00,600,8.0,2258,2252,28.0,06:30:00,20.0,19.0,0.0
2018-03-27 00:00:00,400,5.0,1571,1556,20.0,06:25:00,19.0,19.0,0.0
2018-03-27 00:00:00,300,4.0,1251,1235,15.0,06:20:00,19.0,18.0,0.0
2018-03-27 00:00:00,200,3.0,954,923,12.0,06:15:00,19.0,18.0,0.0
2018-03-27 00:00:00,100,2.0,722,693,9.0,06:10:00,19.0,18.0,0.0
2018-03-27 00:00:00,100,1.0,582,552,6.0,06:05:00,19.0,18.0,0.0
2018-03-27 00:00:00,0,0.0,464,429,5.0,06:00:00,19.0,18.0,0.0
2018-03-27 00:00:00,0,0.0,186,153,2.0,05:55:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,1.0,05:50:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:45:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:40:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:35:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:30:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:25:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:20:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:15:00,19.0,18.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:10:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:05:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,05:00:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:55:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:50:00,21.0,20.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:45:00,21.0,20.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:40:00,21.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:35:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:30:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:25:00,20.0,19.0,0.0
2018-03-27 00:00:00,0,0.0,0,0,0.0,04:20:00,20.0,19.0,0.0
