Date,DaySum,DaySumIrr,Pac,Pdc,SolIrr,Time,TmpAmb,TmpMod,Wind,Pdc_pred,Absolute_Percent_diff
18-07-30,334500.0,4576.0,53423.0,54750.0,820.0,13:50:00,26.0,47.0,2.2,55074.914,0.5934507552891528
18-05-21,186100.0,2657.0,53968.0,55505.0,222.0,11:15:00,24.0,39.0,0.0,14921.008,73.11772254015688
2018-03-18 00:00:00,215900.0,3078.0,51438.0,53035.0,630.0,10:50:00,42.0,44.0,1.0,42156.332,20.51224353637796
18-05-23,277300.0,4144.0,15988.0,16276.0,231.0,13:15:00,26.0,38.0,2.8,15501.091,4.761051854796658
18-09-22,509500.0,7333.0,54624.0,56306.0,888.0,15:20:00,30.0,56.0,2.0,57995.445,3.0004681886434437
18-08-16,109800.0,1519.0,53936.0,55462.0,829.0,09:20:00,27.0,45.0,0.9,55066.727,0.7126958812724478
2018-03-26 00:00:00,383800.0,5491.0,2432.0,2441.0,27.0,17:35:00,26.0,29.0,0.0,1780.1945,27.071100226780864
18-07-26,280200.0,3688.0,55473.0,56768.0,791.0,12:15:00,27.0,43.0,1.9,53106.934,6.449170978456362
18-11-28,11200.0,164.0,18355.0,18682.0,274.0,07:00:00,25.0,31.0,0.4,18379.691,1.6181810032873383
2018-03-22 00:00:00,74300.0,980.0,12638.0,12911.0,172.0,08:30:00,37.0,30.0,0.9,11412.583,11.605741419824305
18-11-20,574900.0,8637.0,40602.0,41741.0,822.0,15:40:00,32.0,59.0,1.1,55186.746,32.21231964791085
18-07-15,33000.0,483.0,26750.0,27423.0,392.0,10:30:00,21.0,29.0,1.5,26334.482,3.9693634654275596
18-07-23,448800.0,6232.0,32924.0,33588.0,418.0,15:55:00,21.0,32.0,2.6,28087.957,16.375023594026953
18-04-16,294500.0,4305.0,64275.0,65723.0,1080.0,13:10:00,29.0,60.0,2.9,63838.234,2.8677412857161997
18-08-31,106600.0,1495.0,57450.0,59188.0,888.0,08:55:00,24.0,45.0,1.1,55603.93,6.055398651447752
18-11-25,72600.0,1033.0,14917.0,15217.0,210.0,10:25:00,23.0,33.0,1.5,14106.576,7.297257390545268
18-06-15,122600.0,2929.0,21606.0,22058.0,316.0,13:25:00,23.0,31.0,1.7,21217.93,3.8084648615084546
2018-03-10 00:00:00,312100.0,4203.0,1404.0,1382.0,19.0,18:00:00,22.0,23.0,2.2,1262.601,8.639587887849892
18-06-16,8000.0,117.0,15133.0,15400.0,313.0,07:30:00,16.0,23.0,0.0,21062.135,36.767107306362746
18-08-16,183900.0,5424.0,33002.0,33623.0,728.0,15:35:00,30.0,54.0,0.6,48880.53,45.37826023127901
18-09-21,500.0,8.0,2058.0,2058.0,32.0,06:10:00,19.0,18.0,1.4,2150.5867,4.498868596362654
18-08-19,24600.0,344.0,41511.0,42641.0,581.0,07:40:00,20.0,29.0,1.7,38914.117,8.740142477528497
2018-03-24 00:00:00,262200.0,3945.0,47863.0,49064.0,636.0,13:55:00,51.0,45.0,2.8,42474.258,13.4309085220531
18-04-27,409400.0,5568.0,62691.0,63988.0,794.0,14:30:00,30.0,50.0,0.9,53300.348,16.70259087020295
18-08-21,115200.0,1648.0,56464.0,57640.0,873.0,10:00:00,31.0,51.0,2.5,57641.797,0.00311751319334158
18-09-26,363600.0,5151.0,41682.0,42486.0,596.0,14:45:00,33.0,49.0,0.6,39974.46,5.911448134522098
18-05-31,395700.0,5596.0,23035.0,23464.0,296.0,16:05:00,24.0,33.0,3.3,19869.947,15.317308679705713
18-07-26,243300.0,3460.0,62705.0,64081.0,980.0,12:05:00,26.0,49.0,1.0,58153.92,9.249353036011215
18-07-28,287400.0,3940.0,53770.0,55168.0,816.0,12:55:00,24.0,49.0,0.9,54425.22,1.346398405125687
18-07-31,900.0,13.0,4763.0,4882.0,62.0,06:50:00,8.0,10.0,0.0,4248.705,12.972040588874792
18-07-23,178000.0,2553.0,41292.0,42831.0,731.0,11:05:00,21.0,37.0,1.9,48533.67,13.314353861110394
18-04-29,470800.0,6454.0,27725.0,28231.0,762.0,16:05:00,29.0,41.0,0.6,51037.83,80.7864716200717
18-04-26,487200.0,6737.0,18625.0,18964.0,647.0,16:35:00,26.0,33.0,1.4,43419.625,128.9581647077157
18-06-26,384400.0,5500.0,45344.0,46523.0,477.0,15:25:00,23.0,40.0,0.9,32054.41,31.099863119041117
18-08-17,411800.0,5728.0,30306.0,30882.0,709.0,15:45:00,29.0,53.0,3.4,47609.395,54.16552071110912
18-04-26,61900.0,798.0,57425.0,58852.0,540.0,08:10:00,23.0,35.0,1.4,36269.785,38.37119653807825
18-09-23,94600.0,1249.0,60694.0,62600.0,913.0,08:15:00,27.0,43.0,3.3,58476.535,6.587006423039175
18-04-18,64700.0,816.0,57501.0,58794.0,532.0,08:10:00,26.0,39.0,0.0,35716.344,39.25171712184758
18-09-28,146100.0,2001.0,56674.0,58223.0,859.0,09:50:00,34.0,55.0,1.3,56840.934,2.3737485202849347
18-11-24,49100.0,694.0,48174.0,49352.0,689.0,08:50:00,27.0,40.0,1.4,46250.082,6.285294396677483
18-08-26,84800.0,1118.0,55211.0,56682.0,805.0,08:40:00,25.0,42.0,1.5,53550.445,5.524775693438554
18-06-18,425000.0,5877.0,1000.0,1275.0,28.0,17:15:00,20.0,22.0,1.0,1884.1576,47.77706239153356
18-09-23,605600.0,8794.0,3089.0,3288.0,61.0,17:30:00,23.0,25.0,2.7,4078.37,24.038022052306328
18-10-01,700.0,9.0,3379.0,3476.0,41.0,06:00:00,13.0,13.0,0.0,2799.262,19.468873717379516
2018-03-19 00:00:00,148500.0,2236.0,47197.0,48206.0,992.0,10:45:00,31.0,48.0,0.0,58414.49,21.17680159563919
18-08-25,347800.0,4867.0,55456.0,56583.0,861.0,13:55:00,28.0,51.0,1.9,57184.4,1.062862189588044
18-05-24,0.0,0.0,358.0,352.0,5.0,06:20:00,15.0,16.0,1.5,370.31607,5.203428935386579
18-11-26,402100.0,5761.0,3492.0,3520.0,50.0,17:20:00,27.0,28.0,1.4,3310.9626,5.938557719557797
18-05-21,322000.0,4049.0,2368.0,2411.0,40.0,16:10:00,21.0,25.0,0.6,2689.167,11.537415260771205
18-05-19,417000.0,5785.0,3154.0,3176.0,46.0,17:00:00,22.0,24.0,0.9,3079.338,3.0435157784962286
18-12-03,217900.0,3203.0,61674.0,63668.0,1089.0,09:50:00,35.0,66.0,1.0,64467.902,1.256364103522054
18-05-22,269300.0,4258.0,8934.0,9088.0,150.0,15:25:00,24.0,30.0,0.0,10060.927,10.70561731352248
